10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH BOAZ AL 35957,34.22168800000001,-86.16070979999999,256-593-8310,Acute Care Hospitals,TRUE,Same as the national average,Above the national average,Same as the national average,Above the national average,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,0.8271
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE FORT PAYNE AL 35968,34.4419753,-85.7550138,256-845-3150,Acute Care Hospitals,TRUE,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,0.7867
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET WEDOWEE AL 36278,33.3106697,-85.4850053,256-357-2111,Acute Care Hospitals,TRUE,Not Available,Same as the national average,Same as the national average,Same as the national average,,,,,0.0
10095,HALE COUNTY HOSPITAL,508 GREEN STREET GREENSBORO AL 36744,32.6955444,-87.5869077,334-624-3024,Acute Care Hospitals,TRUE,Not Available,Not Available,Below the national average,Same as the national average,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Average Payment,Not Available,-0.6147
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE HUNTSVILLE AL 35801,34.6943291,-86.572025,256-882-3100,Acute Care Hospitals,TRUE,Above the national average,Same as the national average,Same as the national average,Same as the national average,Less Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,Less Than the National Average Payment,0.5859
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618 BUTLER AL 36904",32.0934858,-88.20911889999999,205-459-9100,Critical Access Hospitals,TRUE,Not Available,Not Available,Not Available,Same as the national average,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Not Available,0.9183
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287 BETHEL AK 99559,60.7922222,-161.7558334,907-543-6300,Acute Care Hospitals,TRUE,Not Available,Same as the national average,Not Available,Not Available,Number of Cases Too Small,Less Than the National Average Payment,Less Than the National Average Payment,Not Available,-0.6173
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966) NOME AK 99762,64.4992304,-165.3784042,907-443-3311,Critical Access Hospitals,TRUE,Not Available,Not Available,Not Available,Not Available,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Average Payment,Not Available,0.5846
21309,KANAKANAK HOSPITAL,P O BOX 130 DILLINGHAM AK 99576,59.00009420000001,-158.5355046,907-842-5201,Critical Access Hospitals,TRUE,Not Available,Not Available,Not Available,Not Available,Not Available,Number of Cases Too Small,No Different Than the National Average Payment,Not Available,-0.6261
21310,MANIILAQ HEALTH CENTER,PO BOX 43 KOTZEBUE AK 99752,66.89865929999999,-162.5988204,907-442-3321,Critical Access Hospitals,TRUE,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.4939
